"Supplier's Part Number","Manufacturer's Part Number","Product Name","Quantity in Stock","Buy Price","Manufacturer's Name","When in Stock","Item Barcode"
"32201-01","086418","HID FARGO 086418 Asure ID7 Express to ID7 Enterprise Upgrade",0,"1,567.27","Fargo","Call",""
"32201-02","086419","HID FARGO 086419 AsureID7 Express- AsureID7 Exchange Upgrade",0,"3,483.79","Fargo","Call",""
"32202","086513","HID FARGO 086513 Asure ID 7 Enterprise",0,"3,049.45","Fargo","Call",""
"32203","086514","HID FARGO 086514 Asure ID 7 Exchange",0,"4,970.45","Fargo","Call",""
"AL-TEMPORIS380","TEMPORIS 380","Alcatel Temporis 380 Business Telephone with Speakerphone",51,"45.42","Alcatel","Now","3700601414677"
"BSE-10HPQ-POE","10HPQ-POE","Adapt-IQV 10.1in Digital Signage Tablet",0,"1,134.17","Bose","Call",""
"BSE-28337","28337","Bose Panaray CB-MA12 Coupling Bracket Black",0,"84.37","Bose","Call",""
"BSE-28338","28338","Bose Panaray CB-MA12 Coupling Bracket White",0,"84.37","Bose","Call",""
"BSE-29229","29229","Bose Panaray PSA-12 MA-12 Stand Adapter",0,"127.60","Bose","Call",""
"BSE-29854","29854","Bose FreeSpace 3 Flush-Mount Acoustimass Module Tile Bridge",3,"238.99","Bose","Now",""
"BSE-29855","29855","Bose FreeSpace 3 Flush-Mount Acoustimass Module Rough-In Pan",2,"113.09","Bose","Now",""
"BSE-2ZAudioPack1CC1B","","BOSE-4xFS4CE Veritas 2160BH 2xCC1 BLK",0,"3,399.00","Bose","Call",""
"BSE-2ZAudioPack1CC1W","","BOSE-4xFS4CE Veritas 2160BH 2xCC1 WHT",0,"3,399.00","Bose","Call",""
"BSE-2ZAudioPack1CC2B","","BOSE-4xFS4CE Veritas 2160BH 2xCC2 BLK",0,"3,399.00","Bose","Call",""
"BSE-2ZAudioPack1CC2W","","BOSE-4xFS4CE Veritas 2160BH 2xCC2 WHT",0,"3,399.00","Bose","Call",""
"BSE-2ZAudioPack2CC1B","","BOSE-4xFS2P Veritas 2160BH 2xCC1 BLK",0,"2,899.00","Bose","Call",""
"BSE-2ZAudioPack2CC1W","","BOSE-4xFS2P Veritas 2160BH 2xCC1 WHT",0,"2,899.00","Bose","Call",""
"BSE-2ZAudioPack2CC2B","","BOSE-4xFS2P Veritas 2160BH 2xCC2 BLK",0,"2,899.00","Bose","Call",""
"BSE-2ZAudioPack2CC2W","","BOSE-4xFS2P Veritas 2160BH 2 CC2 WHT",0,"2,899.00","Bose","Call",""
"BSE-2ZAudioPack3CC1B","","BOSE-4xFS4SE Veritas 2160BH 2xCC1 BLK",0,"3,800.00","Bose","Call",""
"BSE-2ZAudioPack3CC1W","","BOSE-4xFS2SE Veritas 2160BH 2xCC1 WHT",0,"3,800.00","Bose","Call",""
"BSE-2ZAudioPack3CC2B","","BOSE-4xFS4SE Veritas 2160BH 2xCC2 BLK",0,"3,800.00","Bose","Call",""
"BSE-2ZAudioPack3CC2W","","BOSE-4xFS2SE Veritas 2160BH  2xCC2 WHT",0,"3,800.00","Bose","Call",""
"BSE-315338-0100","315338-0100","Bose Panaray CVT-MA12EX Transformer 70V/100V Black",0,"393.78","Bose","Call",""
"BSE-315338-0200","315338-0200","Bose Panaray CVT-MA12EX Transformer 70V/100V White",0,"393.78","Bose","Call",""
"BSE-317088-0100","317088-0100","Bose Panaray CB-MA12EX Coupling Bracket Black",0,"95.80","Bose","Call",""
"BSE-317088-0200","317088-0200","Bose Panaray CB-MA12EX Coupling Bracket White",0,"95.80","Bose","21/08/2026",""
"BSE-317302-0100","317302-0100","Bose Panaray MA12EX Loudspeaker Black",0,"1,743.41","Bose","Call",""
"BSE-317302-0200","317302-0200","Bose Panaray MA12EX Loudspeaker White",0,"1,743.41","Bose","21/08/2026",""
"BSE-318337-0100","318337-0100","Bose Panaray WMB2-MA12/MA12EX Pitch Lock Upper Bracket Black",0,"121.16","Bose","Call",""
"BSE-318337-0200","318337-0200","Bose Panaray WMB2-MA12/MA12EX Pitch Lock Upper Bracket White",0,"121.16","Bose","Call",""
"BSE-318338-0100","318338-0100","Bose Panaray WMB-MA12/MA12EX Bi-Pivot Bracket Black",0,"189.84","Bose","Call",""
"BSE-318338-0200","318338-0200","Bose Panaray WMB-MA12/MA12EX Bi-Pivot Bracket White",0,"189.84","Bose","Call",""
"BSE-318418-0100","318418-0100","Bose Panaray WMB-MA12/MA12EX Pitch Only Bracket Black",0,"95.00","Bose","Call",""
"BSE-318418-0200","318418-0200","Bose Panaray WMB-MA12/MA12EX Pitch Only Bracket White",0,"95.00","Bose","Call",""
"BSE-342658-0010","342658-0010","Bose ROOMMATCH COMPRESSION DRIVERS.x",0,"187.00","Bose","11/06/2026",""
"BSE-343546-2110","343546-2110","Bose PowerMatch PM8500N Config Pro Amp AU",0,"4,407.56","Bose","Call",""
"BSE-344871-5430","344871-5430","Bose FreeSpace IZA 190-HZ DM+FS EQ 240V AU",8,"589.14","Bose","Now",""
"BSE-344871-5440","344871-5440","Bose FreeSpace IZA 250-LZ DM+FS EQ 240V AU",5,"477.20","Bose","Now",""
"BSE-359832-001S","359832-001S","BOSE PCB ASSY POWER SUPPLY SVCE",0,"62.00","Bose","Call",""
"BSE-359834-001","359834-001","BOSE PCB ASSY MIC-LINE INPUT 4CH SVCE",0,"115.00","Bose","Call",""
"BSE-359844-0020","359844-0020","Bose PowerMatchDante Network Card",6,"701.34","Bose","Now",""
"BSE-361813-2110","361813-2110","Bose POWERMATCH PM4500N CONFIG PRO AMP.x",0,"3,706.00","Bose","11/06/2026",""
"BSE-371407-0010","371407-0010","Bose ControlSpace CC-PS1 Universal Power Supply",4,"79.65","Bose","Now",""
"BSE-40143","40143","Bose FreeSpace 3 Satellites White ROHS",4,"197.00","Bose","Now",""
"BSE-40144","40144","Bose FreeSpace 3 Satellites Black ROHS",2,"197.00","Bose","Now",""
"BSE-40145","40145","Bose FreeSpace 3 Bass Module White RoHS",0,"571.00","Bose","Call",""
"BSE-40146","40146","Bose FreeSpace 3 Bass Module Black RoHS",0,"571.00","Bose","Call",""
"BSE-40188","40188","Bose Panaray MA12 Loudspeaker White RoHS",0,"1,105.86","Bose","Call",""
"BSE-40189","40189","Bose MA12 LDSPKR Black RoHS",2,"1,105.86","Bose","Now",""
"BSE-40190","40190","Bose Panaray CVT-12 MA12 Transformer Kit Black RoHS",0,"223.30","Bose","Call",""
"BSE-40191","40191","Bose Panaray CVT-12 MA12 Transformer Kit White RoHS",0,"223.30","Bose","Call",""
"BSE-41760","41760","Bose ControlSpace CC-64 CTRL CTR ROHS",3,"1,170.33","Bose","Now",""
"BSE-41761","41761","Bose ControlSpace CC16 Zone Controller RoHS",6,"408.47","Bose","Now",""
"BSE-719782-5430","719782-5430","Bose FreeSpace IZA 2120-HZ DM+FS EQ 240V AU",3,"1,025.23","Bose","Now",""
"BSE-719782-5440","719782-5440","Bose FreeSpace IZA 2120-LZ DM+FS EQ 240V AU",0,"939.99","Bose","Call",""
"BSE-730999-5540","730999-5540","Bose ShowMatch SM5 DeltaQ Array Loudspeaker",0,"999,999.00","Bose","Call",""
"BSE-730999-8850","730999-8850","Bose ShowMatch SM10 DeltaQ Array Loudspeaker",0,"999,999.00","Bose","Call",""
"BSE-730999-8860","730999-8860","Bose ShowMatch SM20 DeltaQ Array Loudspeaker",0,"999,999.00","Bose","Call",""
"BSE-731419-5110","731419-5110","Bose F1 Model 812 Flex Array Loudspeaker 240V AU",8,"1,784.32","Bose","Now",""
"BSE-731444-5110","731444-5110","Bose F1 Subwoofer Powered 240V AU",17,"1,784.32","Bose","Now",""
"BSE-734302-0110","734302-0110","Bose ShowMatch SMS118 DeltaQ Array Subwoofer",4,"999,999.00","Bose","Now",""
"BSE-738453-0110","738453-0110","Bose RoomMatchUtility Pan & Tilt Bracket Black",5,"229.10","Bose","Now",""
"BSE-738453-0120","738453-0120","Bose DesignMax WBPWR-50B Pan & Tilt Bracket Oudoor Black",5,"277.82","Bose","Now",""
"BSE-738453-0210","738453-0210","Bose RoomMatchUtility Pan & Tilt Bracket White",5,"229.10","Bose","Now",""
"BSE-738453-0220","738453-0220","Bose DesignMax WBPWR-50B Pan & Tilt Bracket Oudoor White",5,"277.82","Bose","Now",""
"BSE-751863-0010","751863-0010","Bose F1 Model 812 Travel Bag",8,"220.90","Bose","Now",""
"BSE-751863-0010","751863-0010","Bose F1 Model 812 Travel Bag",8,"220.90","Bose","Now",""
"BSE-751864-0010","751864-0010","Bose F1 Subwoofer Travel Bag",10,"220.90","Bose","Now",""
"BSE-766712-2410","766712-2410","Bose ShowMatch SM5WG55 Waveguide for SM5",0,"999,999.00","Bose","Call",""
"BSE-766713-9610","766713-9610","Bose ShowMatch SM20WG12 Waveguide for SM20",0,"999,999.00","Bose","Call",""
"BSE-768928-0010","768928-0010","Bose ControlCenter CV41 4 to 1 Converter",2,"137.92","Bose","Now",""
"BSE-768932-2110","768932-2110","Bose ControlCenter CC-1 Zone Controller EU Black",4,"96.54","Bose","Now",""
"BSE-768932-2210","768932-2210","Bose ControlCenter CC-1 Zone Controller EU White",11,"96.54","Bose","Now",""
"BSE-768938-2110","768938-2110","Bose ControlCenter CC-2 Zone Controller EU Black",6,"110.33","Bose","Now",""
"BSE-768938-2210","768938-2210","Bose ControlCenter CC-2 Zone Controller EU White",6,"110.33","Bose","Now",""
"BSE-768941-2110","768941-2110","Bose ControlCenter CC-3 Zone Controller EU Black",4,"110.33","Bose","Now",""
