VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
AVPro Edge,BT-PHC-015,BT-PHC-015,"Bullet Train 1.5 Metre Premium HDMI Cable (1FT) - 10K (48Gbps). VRR,FRL, eARC. Steel head with a braided cable 18 AWG Gold Connectors",,$96,$67
AVPro Edge,BT-PHC-02,BT-PHC-02,"Bullet Train 2 Metre Premium HDMI Cable (1FT) - 10K (48Gbps). VRR,FRL, eARC. Steel head with a braided cable 18 AWG Gold Connectors",,$106,$74
AVPro Edge,BT-PHC-03,BT-PHC-03,"Bullet Train 3 Metre Premium HDMI Cable (1FT) - 10K (48Gbps). VRR,FRL, eARC. Steel head with a braided cable 18 AWG Gold Connectors",,$116,$81
AVPro Edge,BT-PHC-04,BT-PHC-04,"Bullet Train 4 Metre Premium HDMI Cable (1FT) - 10K (48Gbps). VRR,FRL, eARC. Steel head with a braided cable 18 AWG Gold Connectors",,$157,$110
AVPro Edge,BT-PHC-05,BT-PHC-05,"Bullet Train 5 Metre Premium HDMI Cable (1FT) - 10K (48Gbps). VRR,FRL, eARC. Steel head with a braided cable 18 AWG Gold Connectors",,$177,$124
AVPro Edge,BT-USB-A2C-01,BT-USB-A2C-01,"Bullet Train 1 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$35,$25
AVPro Edge,BT-USB-A2C-02,BT-USB-A2C-02,"Bullet Train 2 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$48,$34
AVPro Edge,BT-USB-A2C-03,BT-USB-A2C-03,"Bullet Train 3 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$54,$38
AVPro Edge,BT-USB-A2C-05,BT-USB-A2C-05,"Bullet Train 5 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$418,$293
AVPro Edge,BT-USB-A2C-08,BT-USB-A2C-08,"Bullet Train 8 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$492,$344
AVPro Edge,BT-USB-A2C-15,BT-USB-A2C-15,"Bullet Train 15 Metre USB-C to USB-A Cable, 10Gbps, 5V/900A power, USB 3.2 and lower support, including 2.0 and 1.1",,$507,$355
AVPro Edge,BT-USBC-01,BT-USBC-01,"Bullet Train 1 Metre Copper USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,$48,$34
AVPro Edge,BT-USBC-02,BT-USBC-02,"Bullet Train 2 Metre Copper USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,$68,$47
AVPro Edge,BT-USBC-03,BT-USBC-03,"Bullet Train 3 Metre Copper USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,$80,$56
AVPro Edge,BT-USBC-05,BT-USBC-05,"Bullet Train 5 Metre AOC USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,$881,$617
AVPro Edge,BT-USBC-08,BT-USBC-08,"Bullet Train 8 Metre AOC USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,"$1,058",$741
AVPro Edge,BT-USBC-15,BT-USBC-15,"Bullet Train 15 Metre AOC USB-C to USB-C Cable, 20Gbps, USB 3.2 and lower support, including 2.0 and 1.1, 60w PD",,"$1,235",$864
AVPro Edge,GUIDE-4,GUIDE-4,"ThenAudio HDMI 2.1 48Gbps FRL6 CEC Controlled Switch family 4K120 10/12 bit VRR, 8K60",*1 Year warranty,$581,$407
Murideo,MU-FXHD-KIT-8K,MU-FXHD-KIT-8K,Murideo Installer Kit 40Gbps - 8k 2.1 Test Kit with Generator and Analyzer. Designed for field technicians.,*3 Year warranty,,"$5,213"
AVPro Edge,SHARC-V2,SHARC-V2,"ThenAudio eARC Audio Processor with dual HDMI 2.1 8k 48Gbps FRL6 inputs All format supported: Atmos MAT, TrueHD, DTS: X IMAX, DTS-MA. Only limited TV capabilities. 4K120 10/12bit VRR, 8K60 444 DSC",*1 Year warranty,$547,$383
AVPro Edge,ZONE2-PRO,ZONE2-PRO,"ThenAudio eARC Audio Processor; 48Gbps/FRL6 VRR/ DSC 8K60 444; All audio formats up to Atmos MAT, TrueHD, DTS:X, DTS-MA; CEC control for volume and channel switching",*1 Year warranty,$616,$431
Barco,R9861605NA,C-5-GEN2,"Barco ClickShare Meeting C-5-GEN2 Set (Includes Base Unit only, no buttons) - including 5 year SmartCare*",*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$1,361","$1,051"
Barco,R9861611NAB1,C-10-GEN2,Barco ClickShare Meeting C-10-GEN2 Set (Includes Base Unit + 1 CX-BUTTON-GEN4) - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$2,161","$1,687"
Barco,R9861611NAB2,C-10-GEN2-2,Barco ClickShare Meeting C-10-GEN2-2 Set (Includes Base Unit + 2 CX-BUTTON-GEN4) - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$2,458","$1,919"
Barco,R9861612NAB1,CX-20-GEN2,Barco ClickShare Conference CX-20-GEN2 Set (Includes Base Unit + 1 CX-BUTTON-GEN4) - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$3,258","$2,515"
Barco,R9861613NAB2,CX-30-GEN2,Barco ClickShare Conference CX-30-GEN2 Set (Includes Base Unit + 2 CX-BUTTON-GEN4) - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$4,087","$3,156"
Barco,R9861522NA,CX-50,Barco ClickShare Conference CX-50 Set (Includes Base Unit + 2 CX-BUTTON-GEN4) - including 5 year SmartCare*,*current pricing valid until 30/06/2026 or until stock depleted* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$4,676","$2,399"
Barco,R9861622NAB2,CX-50-GEN2,Barco ClickShare Conference CX-50-GEN2 Set (Includes Base Unit + 2 CX-BUTTON-GEN4) for Dual Display Support - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$5,476","$3,943"
Barco,R9861632USB1,CX-CB-CORE,Barco ClickShare BAR CORE All-In One Video Bar & Wireless Conferencing (Includes 1 CX-BUTTON-GEN4) - including 5 year SmartCare*,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$4,676","$3,643"
Barco,R9861633USB2,CX-CB-PRO,Barco ClickShare BAR PRO All-In One Video Bar & Wireless Conferencing (Includes 2 CX-BUTTON-GEN4) for Dual Display Support - including 5 year SmartCare *,*pricing valid until 30/06/2026* * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,"$6,402","$4,630"
Barco,R9861500T01,CS-TRAY,Barco ClickShare Single Button Tray (holds 4 Buttons),,$149,$106
Barco,R9861600D01C,CX-BUTTON,Barco ClickShare Single Button: USB-C GEN4 [use with ClickShare Conference & Meeting],Use with ClickShare Present & ClickShare Conference only * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,$514,$367
Barco,R9861600P01C,CX-BUTTON-TRAY-PACK,Barco ClickShare Tray & 2 Button Pack: USB-C GEN4 [use with ClickShare Conference & C-Series],Use with ClickShare Present & ClickShare Conference only * 1 year standard warranty – plus extra 4 years coverage when registering via SmartCare*,$789,$564
Barco,R9861581,HDMI-CONVERTER,Barco ClickShare HDMI In to USB-C Converter Kit,Use with CX-50-GEN2 Only,$216,$158
Barco,B573071K,CX-DISC,Barco ClickShare Replacement Wall Mount Disc,Use with C-5-GEN2; C-10-GEN2; CX-20-GEN2; CX-30-GEN2; CH-HUB,$56,$41
Barco,R8788649K,CX-CB-TM,Barco ClickShare BAR TV Mount,,$216,$154
Barco,R8788066K,CX-CB-WM,Barco ClickShare BAR Wall Mount,,$189,$135
Barco,R8787713K,CX-CB-FC,Barco ClickShare BAR Front Cover,,$160,$115
Barco,R8787714K,CX-CB-PC,Barco ClickShare BAR Privacy Cover,,$67,$50
Barco,B563217K,CX-CB-PA,Barco ClickShare BAR Power Adapter,,$131,$95
Barco,R9461811EU,CH-HUB-CORE-BUNDLE,"Barco ClickShare RS HUB CORE Bundle with 1 Button, Includes: 1x R9861711EUB1 (CH-HUB-CORE); 1x R9861720 (CH-CONTROL); 1x B563235K (CH-HUB-PSU100); 1x Z3406338K (CH-USBC10); 1x Power Cord",*Launch promotional pricing valid until 30/06/2026* ,"$6,220","$4,748"
Barco,R9461810EU,CH-HUB-PRO-BUNDLE,Barco ClickShare RS HUB PRO Bundle with 2 Buttons: Includes: 1x R9861710EUB2 (CH-HUB-PRO); 1x R9861720 (CH-CONTROL); 1x R9861700T01 (CH-TRAY); 1x B563235K (CH-HUB-PSU100); 1x Z3406338K (CH-USBC10); 1x Power Cord,*Launch promotional pricing valid until 30/06/2026* ,"$8,300","$6,336"
Barco,R9861711EUB1,CH-HUB-CORE,"Barco ClickShare HUB CORE with 1 Button - excl Control Panel, Power Supply & Power Cord",*Launch promotional pricing valid until 30/06/2026* * 3 year standard warranty *,"$4,322","$3,299"
Barco,R9861710EUB2,CH-HUB-PRO,"Barco ClickShare HUB PRO with 2 Buttons - excl Control Panel, Power Supply & Power Cord",*Launch promotional pricing valid until 30/06/2026* * 3 year standard warranty *,"$6,242","$4,765"
Barco,R9861720,CH-CONTROL,Barco ClickShare HUB Control Panel only,*Launch promotional pricing valid until 30/06/2026* Includes 1x Z3406338K (CH-USBC10),"$1,726","$1,318"
Barco,R9861700T01,CH-TRAY,Barco ClickShare HUB Single Button Tray (holds 2 Buttons),*Launch promotional pricing valid until 30/06/2026* ,$160,$122
Barco,R9861700D01C,CH-BUTTON,Barco ClickShare HUB Single Button: USB-C GEN5 [use with ClickShare HUB],*Launch promotional pricing valid until 30/06/2026* Use with ClickShare HUB Only ,$675,$515
Barco,B563235K,CH-HUB-PSU100,ClickShare HUB Power Supply 100W,*Launch promotional pricing valid until 30/06/2026* Use with ClickShare HUB Only ,$171,$131
Barco,B563236K,CH-HUB-PSU180,ClickShare HUB Power Supply 180W - allows for powered USB as an additional feature,*Launch promotional pricing valid until 30/06/2026* Use with ClickShare HUB Only ,$240,$183
Barco,B570170K,CH-HUB-WMP,ClickShare HUB Wall Mount Plate with Cable Management,*Launch promotional pricing valid until 30/06/2026* Compatible with C-5-GEN2; C-10-GEN2; CX-20-GEN2; CX-30-GEN2; CH-HUB-PRO; CH-HUB-CORE,$183,$140
Barco,Z3406338K,CH-USBC10,ClickShare USB-C Cable 10m - Spare,*Launch promotional pricing valid until 30/06/2026* Already included with each R9861720 (CH-CONTROL),$583,$445
Barco,Z3406437K,CH-USBC-LOCK,ClickShare USB-C Cable Locker Kit,*Launch promotional pricing valid until 30/06/2026*,$23,$18
Barco,R9010650,G50-W6,Barco G50-W6 Projector - body only,,"$12,027","$8,391"
Barco,R9010652,G50-W7,Barco G50-W7 Projector - body only (promo pricing valid to 30/06/2026),,"$13,357","$8,436"
Barco,R9010655,G50-W8,Barco G50-W8 Projector - body only (promo pricing valid to 30/06/2026),,"$17,367","$10,969"
Barco,15343,G50-W6-EC,Barco G50-W6 Essential Care + 2 (5 years),,"$1,346","$1,060"
Barco,15345,G50-W7-EC,Barco G50-W7 Essential Care + 2 (5 years),,"$1,539","$1,212"
Barco,15347,G50-W8-EC,Barco G50-W8 Essential Care + 2 (5 years),,"$1,833","$1,443"
Barco,R9802300,G50-SHORT,Barco Short Lens for G50-XX Projector (0.65-0.75:1),,"$6,614","$5,066"
Barco,R9801840,G50-SHORT1,Barco Short Lens for G50-XX Projector (0.75-0.95:1),,"$4,610","$3,187"
Barco,R9832755,G50-SHORT2,Barco Short Lens for G50-XX Projector (WUXGA 0.95-1.22:1) (promo pricing valid to 30/06/2026),,"$4,610","$3,154"
Barco,R9832756,G50-MIDDLE,Barco Middle Lens for G50-XX Projector (WUXGA 1.52-2.92:1) (promo pricing valid to 30/06/2026),,"$4,610","$3,154"
Barco,R9832778,G50-LONG,Barco Long Lens for G50-XX Projector (WUXGA 2.90-5.50:1),,"$4,610","$3,187"
Barco,R9801784,G50-STANDARD,Barco Standard Lens for G50-XX Projector (WUXGA 1.22-1.53:1) (promo pricing valid to 30/06/2026),,"$2,275","$1,478"
Barco,R9410231,G50-UST-G,Barco G UST (Ultra Short Throw) Lens for G50-XX Projector (0.37-0.4:1) + lens support + safety cable,,"$27,156","$18,778"
Barco,R9010263,G62-W9,Barco G62-W9 Projector - body only,,"$17,249","$12,458"
Barco,R9010265,G62-W11,Barco G62-W11 Projector - body only,,"$21,896","$15,814"
Barco,R9010372,G62-W14,Barco G62-W14 Projector - body only,,"$28,128","$20,315"
Barco,R9409750,G62-UST-G,Barco G UST (Ultra Short Throw) Lens for G62-XX Projector (0.37-0.4:1) + lens support + safety cable,,"$27,416","$19,800"
ClearOne,830-156-200,830-156-200,CHAT 150 CABLE: 10 foot Chat 150 USB Cable,Limited stock available!,$37,$22
ClearOne,910-151-806,910-151-806,"CONVERGE USB: Includes 25 ft CAT5e cable, 6 ft USB cable and DC power supply.",Limited stock available! ,$483,$290
ClearOne,910-2100-103,910-2100-103,"UNITE 2XX WM: Wall mount for UNITE 200, 200 Pro, and 260 Pro cameras",Limited stock available! ,$240,$144
ClearOne,910-2100-203,910-2100-203,"UNITE 2XX CM: Ceiling mount for UNITE 200, 200 Pro, and 260 Pro cameras",Limited stock available! ,$240,$144
ClearOne,910-2200-001,910-2200-001,"VERSA MEDIABAR: Includes 4K 110 degree ultra-wide angle ePTZ camera with auto-framing and people tracking, integrated 4-element microphone array and built-in speaker with USB and Bluetooth connectivity.",Limited stock available! ,$967,$580
ClearOne,910-3001-100,910-3001-100,"COLLABORATE VERSA HUB: Hub that connects USB camera, USB audio, room displays and laptop",Limited stock available! ,$539,$324
ClearOne,910-3200-202,910-3200-202,"PSU: Includes 1 x 36 Watt PoE+ Injector, 2 x 25 ft CAT6 cables for BMA",Limited stock available! ,$387,$232
ClearOne,910-3200-203,910-3200-203,BMA2 CM KIT: Standard Ceiling Mounting Kit (White) without suspension column for Beamforming Microphone Array 2. Compatible with BMA 1 also.,Limited stock available! ,$599,$360
ClearOne,910-3200-203-12,910-3200-203-12,"BMA2 CM KIT1: Standard Ceiling Mounting Kit (White) with 12"" suspension column for Beamforming Microphone Array 2. Compatible with BMA 1 also.",Limited stock available! ,$750,$450
ClearOne,910-3200-209,910-3200-209,"PSU: Includes 1 x 90 Watt PoE++ Injector, 2 x 25 ft CAT6 cables for BMA",Limited stock available! ,$552,$331
ClearOne,910-3200-210-I,910-3200-210-I,"BMA SM KIT: 600 MM Surface Mount Kit for BMA CT, BMA CTH and BMA 360",Limited stock available! ,$164,$99
ClearOne,910-3200-212-I,910-3200-212-I,"BMA RM KIT: 600 MM Recessed Mount Kit for BMA CT, BMA CTH and BMA 360",Limited stock available! ,$164,$99
ClearOne,910-3200-303,910-3200-303,"CONVERGE BT EXPANDER: P-Link Expander for CP2 DSP Mixers.Includes Bluetooth Expander Wall Panel, Trim Plate, Low Voltage 1-Gang Wall Bracket, NFC Button.",Limited stock available! ,$884,$530
ClearOne,910-3200-309,910-3200-309,VERSA USB22D: Supports 2x2 channels of bidirectional audio. Allows PCs and mobile devices to be used with BMA 360D.,Limited stock available! ,$458,$275
ClearOne,ASY-0501-001,ASY-0501-001,UNITE 150 RMC: Remote Control for UNITE 150 & UNITE 200 Cameras,Limited stock available! ,$91,$55
ClearOne,ASY-0515-001,ASY-0515-001,UNITE 50 4K AF RMC: Remote Control for UNITE 50 AF Camera,Limited stock available! ,$91,$55
ClearOne,910-2100-003,910-2100-003,"UNITE 200: PTZ camera with 12x optical zoom, 1080P60 full HD, USB, HDMI, and IP connections",Limited stock available! ,"$2,397","$1,438"
ClearOne,910-2100-004,910-2100-004,"UNITE 150: PTZ camera with 12x optical Zoom, 1080P30 Full HD, USB",Limited stock available! ,$899,$539
ClearOne,910-2100-006,910-2100-006,"UNITE 50 4K: 4K 30 fps, USB, e-PTZ with UVC Protocol, 120° ultra wide-angle field-of-view.",Limited stock available! ,$450,$270
ClearOne,910-2100-008,910-2100-008,"UNITE 50 4K AF: 4K 30 fps, USB, e-PTZ with UVC Protocol, 120° ultra-wide-angle field-of-view with auto framing.",Limited stock available! ,$450,$270
ClearOne,910-2100-018,910-2100-018,"UNITE 260 PRO: PTZ camera with 20x optical zoom, 4Kp30 UHD, USB, HDMI, IP connections, AI smart face tracking, and auto framing.",Limited stock available! ,"$2,997","$1,798"
ClearOne,910-2100-009,910-2100-009,"UNITE 60: 4K, USB, e-PTZ with UVC Protocol, 120 degree ultra wide-angle field-of-view with autofocus, AI based auto-frame, and voice tracking.",Limited stock available! ,$483,$290
ClearOne,910-2100-180,910-2100-180,"UNITE 180: 4K, USB, e-PTZ camera with real-time stitching to create 180-degree panoramic view, six different display modes, and 4x zoom.",Limited stock available! ,$899,$539
ClearOne,910-3200-008-D,910-3200-008-D,"CONVERGE PRO 2 48VTD: DSP Mixer with 4 Mic/Line AEC Inputs, 8 Mic/Line Outputs, USB Audio, VoIP, Telephone Interface, 2 x 10 Watt Power Amplifier, Dante 16 x 16, P-Link 16x16 and C-Link 150 channels Digitial Bus.",Limited stock available! ,"$7,337","$4,402"
ClearOne,910-3200-101,910-3200-101,"CONVERGE PRO 2 128SR: DSP Mixer with 12 Mic/Line Inputs, 8 Mic/Line Outputs, USB Audio, P-Link 16x16 and C-Link 150 channels Digitial Bus.",Limited stock available! ,"$2,997","$1,798"
ClearOne,910-3200-701,910-3200-701,"CONVERGE HUDDLE: DSP Mixer with 3 Mic/Line AEC Inputs, 1 Line Input, 2 Line Outputs, 2 x 10 Watt @8ohms Speaker Outputs, 1 HDMI Output, 1 USB 3.0 Type B Host Computer Input, 1 USB 3.0 Type A, 1 Ethernet port, 1 LAN Passthrough port, 1 Expander Port. Includes Mounting Bracket and 6 ft USB 3.0 cable..",Limited stock available! ,"$2,227","$1,336"
ClearOne,910-3200-201-I,910-3200-201-I,BMA2: Beamforming Microphone Array 2nd Gen. PoE Injector and CAT6 cables not included.,Limited stock available! ,"$2,397","$1,438"
ClearOne,910-3200-205-I,910-3200-205-I,BMA CT: Beamforming Ceiling Tile Microphone Array with 2 x 10 Watt Power Amplifiers. PoE Injector and CAT6 cables not included.,Limited stock available! ,"$5,394","$3,236"
ClearOne,910-3200-208-D-I,910-3200-208-D-I,BMA 360D: BMA compatible with any Dante enabled DSP mixer with 4 x 15 Watt Power Amplifiers. PoE Injector and CAT6 cables not included.,Limited stock available! ,"$6,665","$3,999"
ClearOne,930-3200-010-I,930-3200-010-I,"COLLABORATE VERSA LITE CT INTL: Includes: (A) BMA CTH 600 mm, (B) Versa USB, (C) 36W PoE+ power supply kit and (D) 50 ft. CAT6 cable",Limited stock available! ,"$1,498",$899
ClearOne,930-6200-101-W-A-KIT,930-6200-101-W-A-KIT,"CEILING MIC ARRAY KIT ANALOG: Ceiling Mic Array Analog-X Kit (1), including Analog-X Interface Box; Analog-X Junction Box; mounting brackets; phoenix connector terminal blocks & power supplies.",Limited stock available! ,"$1,065",$639
ClearOne,930-6200-101-W-D-KIT,930-6200-101-W-D-KIT,"CEILING MIC ARRAY KIT DANTE: Ceiling Mic Array DANTE Kit (1), including Dante Interface Box; Dante Junction Box; mounting brackets; CAT6 Cable",Limited stock available! ,"$1,450",$870
ClearOne,910-6004-003-C,910-6004-003-C,DIALOG WIRELESS BELTPACK: Wireless Beltpack Transmitter M610,Limited stock available! ,,
ClearOne,910-6100-010,910-6100-010,DIALOG WIRELESS RECEIVER: 1 Channel Wireless Receiver with 2.4 GHz RF band and with USB-C for audio and configuration; Di-pole Antennas included; Docking station not included,Limited stock available! ,$870,$522
ClearOne,910-6101-011,910-6101-011,DIALOG TABLETOP TRANSMITTER: Wireless Tabletop / Boundary Omni Microphone with 2.4 GHz RF band,Limited stock available! ,$630,$378
ClearOne,910-6104-001,910-6104-001,"DIALOG BELTPACK TRANSMITTER: Wireless Beltpack Transmitter with TA4F, Mini XLR mic connection - 2.4 GHz RF band",Limited stock available! ,$599,$360
ClearOne,910-156-500,910-156-500,CHAT 150 BT: USB Bluetooth speakerphone,Limited stock available! ,$917,$550
ClearOne,910-159-001,910-159-001,CHAT 50: USB personal speakerphone with USB cable,Limited stock available! ,$211,$126
ClearOne,910-151-001-01,910-151-001-01,CEILING SPEAKERS: Pair (2x) LS6CT ceiling speakers with 8 ohm and 70V/100V transformer taps and ceiling tile bridges.,Limited stock available!,$539,$324
ClearOne,910-151-002-01-1,910-151-002-01-1,WALL SPEAKERS: Pair (2x) LS6WT wall speakers with 8 ohm impedence and mounting brackets,Limited stock available!,$360,$216
ClearOne,910-3001-120,910-3001-120,"VERSA UCS2100 SWITCHER: Presentation switcher kit with USB and video extension over HDBT CAT6 cable and with dual USB host capability. Transmitter provides USB 3.0, HDMI, analog audio out, GPIO, RS-232, TCP/IP. Receiver provides USB 2.0, HDMI, analog audio out, RS-232, Ethernet passthrough.",Limited stock available! ,"$3,296","$1,978"
Cleerline,12ACS50125OM3PE,12ACS50125OM3PE,"12 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 50/125, OM3 - 305m spool",Armored-Outdoor MM OM3,"$11,914","$7,521"
Cleerline,12ACS50125OM4PE,12ACS50125OM4PE,"12 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 50/125, OM4 - 305m spool",Armored-Outdoor MM OM4,"$14,339","$9,052"
Cleerline,12ACS9125OS2PE,12ACS9125OS2PE,"12 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 9/125, G657 A2/B2 OS2 - 305m spool",Armored-Outdoor SM OS2,"$6,232","$3,934"
Cleerline,12D50125MOM3P,12D50125MOM3P,"12 Strand SSF™ Micro-Distribution LT, Plenum I/O, 50/125, OM3 - 305m spool",Plenum-Indoor/Outdoor MM OM3,"$5,922","$3,738"
Cleerline,12D50125MOM3P-BK,12D50125MOM3P-BK,"12 Strand SSF™ Micro-Distribution LT, Black Plenum I/O, 50/125, OM3 - 305m spool",Plenum-Indoor/Outdoor MM OM3,"$5,922","$3,738"
Cleerline,12D50125MOM4P,12D50125MOM4P,"12 Strand SSF™ Micro-Distribution LT, Plenum I/O, 50/125, OM4 - 305m spool",Plenum-Indoor/Outdoor MM OM4,"$6,835","$4,315"
Cleerline,12D9125SMOS2P,12D9125SMOS2P,"12 Strand SSF™ Micro-Distribution LT, Plenum I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Plenum-Indoor/Outdoor SM 0S2,"$2,406","$1,519"
Cleerline,12DJMD50125OM3R,12DJMD50125OM3R,"12 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 50/125, OM3 - 305m spool",Riser-Indoor/Outdoor MM OM3,"$7,480","$4,722"
Cleerline,12DJMD50125OM4R,12DJMD50125OM4R,"12 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 50/125, OM4 - 305m spool",Riser-Indoor/Outdoor MM OM4,"$8,506","$5,369"
Cleerline,12DJMD9125OS2R,12DJMD9125OS2R,"12 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Riser-Indoor/Outdoor SM 0S2,"$3,377","$2,132"
Cleerline,12IAD50125MOM3P,12IAD50125MOM3P,"12 Strand SSF™ Interlocking Armored Micro-Distribution LT, Plenum, 50/125, OM3 - 305m spool",Armored-Indoor MM OM3,"$13,701","$8,649"
Cleerline,12IAD50125MOM4P,12IAD50125MOM4P,"12 Strand SSF™ Interlocking Armored Micro-Distribution LT, Plenum, 50/125, OM4 - 305m spool",Armored-Indoor MM OM4,"$14,396","$9,088"
Cleerline,12IAD9125SMOS2P,12IAD9125SMOS2P,"12 Strand SSF™ Interlocking Armored Micro-Distribution LT, Plenum, 9/125, G657 A2/B2 OS2 - 305m spool",Armored-Indoor SM OS2,"$9,273","$5,854"
Cleerline,12RMD50125OM3R,12RMD50125OM3R,"12 Strand SSF™ Rugged Micro-Distribution LT, Riser I/O, 50/125, OM3 - 305m spool",Riser-Indoor/Outdoor MM OM3,"$8,303","$5,241"
Cleerline,12RMD50125OM4R,12RMD50125OM4R,"12 Strand SSF™ Rugged Micro-Distribution LT, Riser I/O, 50/125, OM4 - 305m spool",Riser-Indoor/Outdoor MM OM4,"$9,563","$6,037"
Cleerline,12RMD9125OS2R,12RMD9125OS2R,"12 Strand SSF™ Rugged Micro-Distribution LT, Riser I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Riser-Indoor/Outdoor SM 0S2,"$4,061","$2,564"
Cleerline,24ACS9125OS2PE,24ACS9125OS2PE,"24 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 9/125, G657 A2/B2 OS2 - 305m spool",Armored-Outdoor SM OS2,"$8,838","$5,579"
Cleerline,24RMD9125OS2R,24RMD9125OS2R,"24 Strand SSF™ Rugged Micro-Distribution LT, Riser I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Riser-Indoor/Outdoor SM 0S2,"$6,545","$4,131"
Cleerline,24STD50125MOM3P,24STD50125MOM3P,"24 Strand SSF™ Single Tube Micro-Distribution LT, Plenum I/O, 50/125, OM3 - 305m spool",Plenum-Indoor/Outdoor MM OM3,"$13,148","$8,300"
Cleerline,24STD9125SMOS2P,24STD9125SMOS2P,"24 Strand SSF™ Single Tube Micro-Distribution LT, Plenum I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Plenum-Indoor/Outdoor SM 0S2,"$5,486","$3,463"
Cleerline,2ACS50125OM3PE,2ACS50125OM3PE,"2 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 50/125, OM3 - 305m spool",Armored-Outdoor MM OM3,"$4,982.77","$3,145.37"
Cleerline,2ACS9125OS2PE,2ACS9125OS2PE,"2 Strand SSF™ Armored Direct Burial Micro-Distribution LT, PE/OSP/Burial, 9/125, G657 A2/B2 OS2 - 305m spool",Armored-Outdoor SM OS2,"$4,136","$2,611"
Cleerline,2D50125MOM3P,2D50125MOM3P,"2 Strand SSF™ Micro-Distribution LT, Plenum I/O, 50/125, OM3 - 305m spool",Plenum-Indoor/Outdoor MM OM3,"$1,550",$978
Cleerline,2D9125SMOS2P,2D9125SMOS2P,"2 Strand SSF™ Micro-Distribution LT, Plenum I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Plenum-Indoor/Outdoor SM 0S2,$969,$612
Cleerline,2DJMD50125OM3R,2DJMD50125OM3R,"2 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 50/125, OM3 - 305m spool",Riser-Indoor/Outdoor MM OM3,"$2,641","$1,667"
Cleerline,2DJMD50125OM4R,2DJMD50125OM4R,"2 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 50/125, OM4 - 305m spool",Riser-Indoor/Outdoor MM OM4,"$2,961","$1,869"
Cleerline,2DJMD9125OS2R,2DJMD9125OS2R,"2 Strand SSF™ Double Jacket Micro-Distribution LT, Riser I/O, 9/125, G657 A2/B2 OS2 - 305m spool",Riser-Indoor/Outdoor SM 0S2,"$1,914","$1,209"
