Product_Code,Brand,Category,Product_Name,Description,Long_Description,Reseller_Buy,RRP,Images,Stock,Warranty,Average_Lead_Time
SRS60-100AUS,NETGEAR,Wireless,SRS60-100AUS,Orbi Pro AC3000 Tri-band Add-on Satellite,https://www.snappernet.co.nz/product/14248/SRS60-100AUS,315.49,451,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/SRS60_636763161409032187.png,0,24,7
GWN7062,Grandstream,Wireless,GWN7062,Enterprise Dual-WAN Long Range Wi-Fi 6 802.11ax Gigabit VPN Router,https://www.snappernet.co.nz/product/56150/GWN7062,157.33,225,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gwn7062_pukrsctn.tpr.jpg,-1,36,0
U-2120,STLab,USB to X,U-2120,Convert USB 3.1 Type-C to USB 3 HDMI and Gigabit Ethernet,https://www.snappernet.co.nz/product/37099/U-2120,43,61,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/u-2120_mkioj2jg.4kg.jpg,3,12,0
319004,Opengear,Cables/Accessories,319004,Adapter RJ45-DB9M DTE straight,https://www.snappernet.co.nz/product/2829/319004,12.16,17,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/319004_636053076178254913.jpg,1,48,14
WAX206-100AUS,NETGEAR,Wireless,WAX206-100AUS,Dual Band 802.11ax AP with 5x 2.5Gbps Ethernet Ports,https://www.snappernet.co.nz/product/56123/WAX206-100AUS,178.78,255,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ax3600_m4rjjch0.55l.jpg,6,12,0
SP-1279U-S-PSU,QNAP,Power,SP-1279U-S-PSU,Power supply unit for 2U 12 Bay NAS. For use with TS-1279U-RP TS-EC1279U-RP TS-1679U-RP TS-EC1679U-RP WB-1200U-RP WB-1600U-RP,https://www.snappernet.co.nz/product/2899/SP-1279U-S-PSU,589.05,842,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/SP-1279U-S-PSU_636053078518301395.jpg,0,12,0
FD50125MMOM2-O-3M,ETU-LINK,Fibre-optic,FD50125MMOM2-O-3M,Fibre Optic Duplex Patch Cord 50/125µm Multi-mode OM2 LC-LC 3m Orange,https://www.snappernet.co.nz/product/16607/FD50125MMOM2-O-3M,10.5,15,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/orange_15iixlqj.doj.jpg,3,36,0
UACC-G5-ENHANCER,Ubiquiti,Cables/Accessories,UACC-G5-ENHANCER,UniFi Protect G5 Vision Enhancer Attachment for UVC-G5-Pro,,180.21,257,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uacc-g5-enhancer_1xa0alib.v5h.jpg,1,12,0
OM1208-8E,Opengear,Monitoring/Management,OM1208-8E,Console Server + Automation 8 Serial 8 Eth switch 1G RAM 16G Flash 1GbE Python Runtime Docker Support Secure Boot,https://www.snappernet.co.nz/product/30293/OM1208-8E,3756.67,5367,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/om1200_yrtlaw2q.rya.jpg,0,48,90
ENTLH-STARTUP-3Y,Opengear,Software,ENTLH-STARTUP-3Y,Lighthouse Enterprise Edition up to 10 Opengear Appliances 3YR,https://www.snappernet.co.nz/product/56419/ENTLH-STARTUP-3Y,5104.17,7292,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lighthouse_knicyoom.gyo.jpg,0,,0
