Ingram Part Number,Ingram Part Description,Customer Part Number,Vendor Part Number,EANUPC Code,Plant,Vendor Number,Vendor Name,Size,Weight,Volume,Unit,Category ID,Customer Price,Retail Price,Availability Flag,Available Quantity,Backlog Information,Backlog ETA,License Flag,BOM Flag,Material Long Description,Length,Width,Height,Dimension Unit,Weight Unit,Volume Unit,Category,Material Creation Reason code,Media Code,Material Language Code,Substitute Material,Manufacturer Vendor Number,Sub-Category,Product Family,Purchasing Vendor,Material Change Code,Price Status,New Material Flag,Vendor Subrange,Case Qty,Pallet Qty,Direct Order identifier,Material Status,Release Date,Fulfilment type,Music Copyright Fees,Recycling Fees,Document Copyright Fees,Battery Fees,Customer Price with Tax,Retail Price with Tax,Tax Percent,Discount in Percent,Customer Reservation Number,Customer Reservation Qty,Agreement ID,Level ID,Period,Points,Company code,Customer Currency Code,Customer Price Change Flag,Substitute Flag,Availability (Local Stock),Availability (Central Stock),Creation Reason Type,Creation Reason Value,Plant 01 Available Quantity,Plant 02 Available Quantity,VAT Rate,Product Group,MRP Controller,Shipping Country,Local Stock Backlog Quantity,Local Stock Backlog ETA,Central Stock Backlog Quantity,Central Stock Backlog ETA,Customer Price Including Fees,Total Fees,Category Description,Sub-Category Description,Category ID Description
000000000002926555,3y CTR 12916 FC SVC,,U1RL2E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,60514.48,64849.00,,0,0,,,,3y CTR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,69591.65,74576.35,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 60514.48, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926556,4y CTR 12916 FC SVC,,U1RL3E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,122157.44,130907.00,,0,0,,,,4y CTR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,140481.06,150543.05,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 122157.44, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926557,5y CTR 12916 FC SVC,,U1RL4E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,181110.41,194082.00,,0,0,,,,5y CTR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,208276.97,223194.30,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 181110.41, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926559,3y CTR w/CDMR 12916 FC SVC,,U1RL7E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,160476.11,171970.00,,0,0,,,,3y CTR w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,184547.53,197765.50,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 160476.11, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926560,4y CTR w/CDMR 12916 FC SVC,,U1RL8E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,252944.82,271062.00,,0,0,,,,4y CTR w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,290886.54,311721.30,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 252944.82, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926561,5y CTR w/CDMR 12916 FC SVC,,U1RL9E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,341406.67,365860.00,,0,0,,,,5y CTR w/CDMR 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,392617.67,420739.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 341406.67, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926575,4y NBD Exch 12916 FC SVC,,U1RM7E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,20871.27,22366.00,,0,0,,,,4y NBD Exch 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,24001.96,25720.90,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 20871.27, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926576,5y NBD Exch 12916 FC SVC,,U1RM8E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,40816.89,43741.00,,0,0,,,,5y NBD Exch 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,46939.42,50302.15,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 40816.89, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926580,4y Nbd 12916 FC SVC,,U1RN2E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,26023.67,27888.00,,0,0,,,,4y Nbd 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,29927.22,32071.20,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 26023.67, 0.00,Services & Warranties,Help Desk Services,Internet Support
000000000002926581,5y Nbd 12916 FC SVC,,U1RN3E,,NZ01,0000501631,Hewlett Packard Enterprise,,0.0000,0.0000,EA,001269,50894.96,54540.00,,0,0,,,,5y Nbd 12916 FC SVC,0.0000,0.0000,0.0000,,,,012,,,IN,,0000501631,176,Hewlett Packard Enterprise Services & War,0000103299,NEW,,,450853,0000,0000,X,,,W,0,0,0,0,58529.2,62721.00,0,,,,,,,,2320,NZD,,,0,0,STANDARD,STANDARD,0,0,,,,NZ,0,,0,, 50894.96, 0.00,Services & Warranties,Help Desk Services,Internet Support
