Product Code,Name,Description,Main,Price,Brand,Category Code,Supplier Product Code,Bar Code,RRP
TL-UH720,TP-LINK UH720 USB 3.0 7-Port Hub with 2 Charging Ports,TP-LINK UH720 USB 3.0 7-Port Hub with 2 Charging Ports,4,73.9,TP-LINK,HUBS AND CARDREADERS,UH720,6935364010041,89.0
TL-UH9120C,"TP-Link UH9120C, USB Type-C 9-Port Hub","TP-Link UH9120C, USB Type-C 9-Port Hub",0,90.5,TP-LINK,NETWORKING PRODUCTS,UH9120C,8885020625318,109.0
TL-VIGIC230(2.8MM),TP Link VIGI C230 (2.8mm) VIGI 3MP Full-Color Dome Network Camera,TP Link VIGI C230 (2.8mm) VIGI 3MP Full-Color Dome Network Camera,0,65.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C230(2.8mm),4897098689905,79.0
TL-VIGIC240(2.8MM),TP Link VIGI C240 (2.8mm) VIGI 4MP Full-Color Dome Network Camera,TP Link VIGI C240 (2.8mm) VIGI 4MP Full-Color Dome Network Camera,0,76.4,TP-LINK,SURVEILLANCE CAMERA,VIGI C240(2.8mm),4895252501070,92.0
TL-VIGIC240(4MM),TP LINK VIGI C240 (4mm) VIGI 4MP Full-Color Dome Network Camera,TP LINK VIGI C240 (4mm) VIGI 4MP Full-Color Dome Network Camera,0,76.4,TP-LINK,SURVEILLANCE CAMERA,VIGI C240(4mm),4895252501094,92.0
TL-VIGIC240I(2.8MM),TP Link VIGI C240I (2.8mm) VIGI 4MP IR Dome Network Camera,TP Link VIGI C240I (2.8mm) VIGI 4MP IR Dome Network Camera,0,68.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C240I(2.8mm),4897098688908,82.0
TL-VIGIC240I(4MM),TP LINK VIGI C240 (4mm) VIGI 4MP IR Dome Network Camera,TP LINK VIGI C240 (4mm) VIGI 4MP IR Dome Network Camera,0,68.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C240I(4mm),4897098688915,82.0
TL-VIGIC250(2.8MM),TP LINK VIGI C250 (2.8MM) VIGI 5MP Full-Color Dome Network Camera,TP LINK VIGI C250 (2.8MM) VIGI 5MP Full-Color Dome Network Camera,0,90.5,TP-LINK,SURVEILLANCE CAMERA,VIGI C250(2.8mm),"489525503074,4895252503074",109.0
TL-VIGIC250(4MM),TP Link VIGI C250 5MP Full-Colour Dome Network Camera,TP Link VIGI C250 5MP Full-Colour Dome Network Camera,0,90.5,TP-LINK,SURVEILLANCE CAMERA,VIGI C250(4mm),4895252503050,109.0
TL-VIGIC340(2.8MM),TP LINK VIGI C340(2.8mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,TP LINK VIGI C340(2.8mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,0,78.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C340(2.8mm),4897098688618,94.0
TL-VIGIC340(4MM),TP LINK VIGI C340(4mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,TP LINK VIGI C340(4mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,0,78.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C340(4mm),4897098688625,94.0
TL-VIGIC340(6MM),TP LINK VIGI C340(6mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,TP LINK VIGI C340(6mm) VIGI 4MP Outdoor Full-Colour Bullet Network Camera,0,78.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C340(6mm),4897098688632,94.0
TL-VIGIC340-W(4MM),TP LINK VIGI C340-W VIGI 4MP Outdoor Full-Colour Wi-Fi Bullet Network Camera,TP LINK VIGI C340-W VIGI 4MP Outdoor Full-Colour Wi-Fi Bullet Network Camera,12,98.8,TP-LINK,SURVEILLANCE CAMERA,VIGI C340-W(4mm),4897098683675,119.0
TL-VIGIC340I(2.8MM),TP Link VIGI C340I (2.8mm) VIGI 4MP Outdoor IR Bullet Network Camera,TP Link VIGI C340I (2.8mm) VIGI 4MP Outdoor IR Bullet Network Camera,0,65.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C340I(2.8mm),4897098688991,79.0
TL-VIGIC340I(4MM),TP LINK VIGI C340I (4mm) VIGI 4MP Outdoor IR Bullet Network Camera,TP LINK VIGI C340I (4mm) VIGI 4MP Outdoor IR Bullet Network Camera,0,65.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C340I(4mm),4897098689004,79.0
TL-VIGIC340I(6MM),TP Link VIGI C340I (6mm) VIGI 4MP Outdoor IR Bullet Network Camera,TP Link VIGI C340I (6mm) VIGI 4MP Outdoor IR Bullet Network Camera,0,65.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C340I(6mm),4897098689011,79.0
TL-VIGIC340S(4MM),TP-Link VIGI C340S(4mm) VIGI 4MP Outdoor ColourPro Night Vision Bullet Network Camera,TP-Link VIGI C340S(4mm) VIGI 4MP Outdoor ColourPro Night Vision Bullet Network Camera,2,173.6,TP-LINK,SURVEILLANCE CAMERA,VIGI C340S(4mm),4895252500790,209.0
TL-VIGIC350(2.8MM),TP-Link VIGI C350(2.8mm) VIGI 5MP Full-Colour Bullet Network Camera,TP-Link VIGI C350(2.8mm) VIGI 5MP Full-Colour Bullet Network Camera,0,98.8,TP-LINK,SURVEILLANCE CAMERA,VIGI C350(2.8mm),4895252502992,119.0
TL-VIGIC350(4MM),"TP-Link VIGI C350(4mm), VIGI 5MP Full-Colour Bullet Network Camera","TP-Link VIGI C350(4mm), VIGI 5MP Full-Colour Bullet Network Camera",0,98.8,TP-LINK,SURVEILLANCE CAMERA,VIGI C350(4mm),4895252502978,119.0
TL-VIGIC350(6MM),TP-Link VIGI C350(6mm) VIGI 5MP Full-Colour Bullet Network Camera,TP-Link VIGI C350(6mm) VIGI 5MP Full-Colour Bullet Network Camera,14,98.8,TP-LINK,SURVEILLANCE CAMERA,VIGI C350(6mm),4895252502954,119.0
TL-VIGIC440(2.8MM),TP LINK VIGI C440(2.8mm) VIGI 4MP Full-Colour Turret Network Camera,TP LINK VIGI C440(2.8mm) VIGI 4MP Full-Colour Turret Network Camera,0,78.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C440(2.8mm),4897098688649,94.0
TL-VIGIC440(4MM),TP LINK VIGI C440(4mm) VIGI 4MP Full-Colour Turret Network Camera,TP LINK VIGI C440(4mm) VIGI 4MP Full-Colour Turret Network Camera,0,78.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C440(4mm),4897098683651,94.0
TL-VIGIC440-W(4MM),TP LINK VIGI C440-W VIGI 4MP Full-Colour Wi-Fi Turret Network Camera,TP LINK VIGI C440-W VIGI 4MP Full-Colour Wi-Fi Turret Network Camera,0,82.2,TP-LINK,SURVEILLANCE CAMERA,VIGI C440-W(4mm),4897098683743,99.0
TL-VIGIC440I(2.8MM),TP LINK VIGI C440I VIGI 4MP IR Turret Network Camera,TP LINK VIGI C440I VIGI 4MP IR Turret Network Camera,0,57.3,TP-LINK,SURVEILLANCE CAMERA,VIGI C440I(2.8mm),4897098689066,69.0
TL-VIGIC440I(4MM),TP Link VIGI C440I (4mm) VIGI 4MP IR Turret Network Camera,TP Link VIGI C440I (4mm) VIGI 4MP IR Turret Network Camera,0,57.3,TP-LINK,SURVEILLANCE CAMERA,VIGI C440I(4mm),4897098689073,69.0
TL-VIGIC450(2.8MM),TP LINK VIGI C450 (2.8MM) VIGI 5MP Full-Color Turret Network Camera,TP LINK VIGI C450 (2.8MM) VIGI 5MP Full-Color Turret Network Camera,0,90.5,TP-LINK,SURVEILLANCE CAMERA,VIGI C450(2.8mm),4895252503036,109.0
TL-VIGIC450(4MM),TP Link VIGI C450 5MP Full-Colour Turret Network Camera,TP Link VIGI C450 5MP Full-Colour Turret Network Camera,0,90.5,TP-LINK,SURVEILLANCE CAMERA,VIGI C450(4mm),4895252503012,109.0
TL-VIGIC540(4MM),TP LINK VIGI C540 VIGI 4MP Outdoor Full-Colour Pan Tilt Network Camera,TP LINK VIGI C540 VIGI 4MP Outdoor Full-Colour Pan Tilt Network Camera,0,107.1,TP-LINK,SURVEILLANCE CAMERA,VIGI C540(4mm),4897098683781,129.0
