Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked,URL
ABB,AB-41384F-H,ABB WELCOME FLUSHMNT BOX GREY SIZE 1/4 41384F-H,EACH,$143.04,$164.50,$235.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-grey-size-1~4-41384f-h
ABB,AB-41384PB,ABB OD PRE-INSTALL BOX ANTH SIZE 1/4 41384PB,EACH,$95.57,$109.91,$157.00,S,https://amber.co.nz/abb-od-pre-install-box-anth-size-1~4-41384pb
ABB,AB-41384S-B,ABB WELCOME SURF-MNT BOX ANTH SIZE 1/4 41384S-B,EACH,$227.65,$261.80,$374.00,S,https://amber.co.nz/abb-welcome-surf-mnt-box-anth-size-1~4-41384s-b
ABB,AB-41385CF-A,ABB WELCOME OS VIDEO FRAME AL SIZE 1/5 41385CF-A,EACH,$374.96,$431.20,$616.00,S,https://amber.co.nz/abb-welcome-os-video-frame-al-size-1~5-41385cf-a
ABB,AB-41385CF-S,ABB WELCOME OS VIDEO FRAME SS SIZE 1/5 41385CF-S,EACH,$871.04,"$1,001.70","$1,431.00",S,https://amber.co.nz/abb-welcome-os-video-frame-ss-size-1~5-41385cf-s
ABB,AB-41385CF-W,ABB WELCOME OS VIDEO FRAME WH SIZE 1/5 41385CF-W,EACH,$772.43,$888.29,"$1,269.00",S,https://amber.co.nz/abb-welcome-os-video-frame-wh-size-1~5-41385cf-w
ABB,AB-41385F-B,ABB WELCOME FLUSHMNT BOX ANTH SIZE 1/5 41385F-B,EACH,$272.70,$313.61,$448.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-anth-size-1~5-41385f-b
ABB,AB-41385F-H,ABB WELCOME FLUSHMNT BOX GREY SIZE 1/5 41385F-H,EACH,$154.61,$177.80,$254.00,S,https://amber.co.nz/abb-welcome-flushmnt-box-grey-size-1~5-41385f-h
ABB,AB-41385PB,ABB OD PRE-INSTALL BOX ANTH SIZE 1/5 41385PB,EACH,$105.30,$121.10,$173.00,S,https://amber.co.nz/abb-od-pre-install-box-anth-size-1~5-41385pb
ABB,AB-41385S-B,ABB WELCOME SURF-MNT BOX ANTH SIZE 1/5 41385S-B,EACH,$276.96,$318.50,$455.00,S,https://amber.co.nz/abb-welcome-surf-mnt-box-anth-size-1~5-41385s-b
