Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,910.0115.900,Apprimo TP-TS,EA,513,308,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Apprimo TP-TS,Table stand for touch panels,Touch Panel Accessories,n,n,Current,Apprimo,,,,,513,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,914.1974.900,Touch 8 MAX,EA,2500,1500,NZD MSRP - 40%,,,,,,,,,NZD,1,Kg,,Touch 8 MAX,MAX Connect tabletop controller,Control Interface,Y,N,Current,Apprimo,,,,,2500,,,,,PO,Standard Freight,N,,N,China,https://www.biamp.com,Apprimo,,4911,,,,
Biamp Systems,911.0826.900,AE-BB-B,EA,53,32,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,AE-BB-B,Beam mounting bracket - Black - compatible with all Qt emitters,Mounts/Brackets,n,n,Current,Cambridge,,,,,53,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom color beam brackets,,,
Biamp Systems,911.0827.900,AE-BB-W,EA,53,32,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,AE-BB-W,Beam mounting bracket - White - compatible with all Qt emitters,Mounts/Brackets,n,n,Current,Cambridge,,,,,53,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom color beam brackets,,,
Biamp Systems,911.0828.900,AE-UB-B,EA,53,32,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,AE-UB-B,Universal mounting bracket – black; compatible with all Qt Emitters ,Mounts/Brackets,n,n,Current,Cambridge,,,,,53,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911, Contact Biamp for custom color universal brackets,,,
Biamp Systems,911.0829.900,AE-UB-W,EA,53,32,NZD MSRP - 40%,,,,,,,,N,NZD,0.2041164,Kg,,AE-UB-W,Universal mounting bracket – white; compatible with all Qt Emitters,Mounts/Brackets,n,n,Current,Cambridge,,,,,53,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911, Contact Biamp for custom color universal brackets,,,
Biamp Systems,914.1966.900,Biamp NMS-NG10GPX-AVB,EA,3667,2200,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,Biamp NMS-NG10GPX-AVB,"AVB-enabled Netgear 10-port 1G switch, 8-ports w/ PoE+, 240W",Sound Masking Accessories,y,n,Current,Cambridge,,,,,3667,,,,,PO,Standard Freight,n,n,N,Thailand,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,914.1976.900,Biamp NMS-NG26GPX-AVB,EA,6500,3900,NZD MSRP - 40%,,,,,,,,Y,NZD,6.86,Kg,,Biamp NMS-NG26GPX-AVB,"AVB-enabled Netgear 26-port 1G switch, 24-ports w/ PoE+, 480W",Network Switch,Y,N,Current,Network Switch,,,,,6500,,,,,PO,Standard Freight,N,N,N,Thailand,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,424.0167.900,CC-100-B,EA,370,222,NZD MSRP - 40%,,,,,,,,N,NZD,0.907184,Kg,,CC-100-B,100' Plenum Rated Cables - Black,Cabling,n,n,Current,Cambridge,,,,,370,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0168.900,CC-100-W,EA,340,204,NZD MSRP - 40%,,,,,,,,N,NZD,0.907184,Kg,,CC-100-W,100' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,340,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
