Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,911.1611.900,EN-CM6T6,EA,133,80,NZD MSRP - 40%,,,,,,,,N,NZD,1.42,Kg,,EN-CM6T6,"6.5” built-in ceiling speaker equipped with a high efficiency full range speaker and a multi tap 100 volt transformer (1.5-3-6 watts), all certified according EN 54-24.",Loudspeakers,Y,N,Current,Biamp,,,,,133,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1613.900,EN-H10-G,EA,233,140,NZD MSRP - 40%,,,,,,,,N,NZD,1.93,Kg,,EN-H10-G,"powerful horn speaker equipped with a compression driver and a multi tap 100 volt transformer (1.25-2.5-5-10 watts) and a power selector switch to 20 ohms, all certified according EN 54-24",Loudspeakers,Y,N,Current,Biamp,,,,,233,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1614.900,EN-H15-G,EA,267,160,NZD MSRP - 40%,,,,,,,,N,NZD,2.11,Kg,,EN-H15-G,"powerful horn speaker equipped with a compression driver and multi tap 100 volt transformer (1.87-3.75-7.5-15 watts) and a power selector switch to 20 ohms , all certified according EN 54.",Loudspeakers,Y,N,Current,Biamp,,,,,267,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1615.900,EN-MP5T20-W,EA,367,220,NZD MSRP - 40%,,,,,,,,N,NZD,2.48,Kg,,EN-MP5T20-W,"compact sound projector with a 5.25"" woofer,  equipped with a high efficiency full range driver and a multi tap 100 volt transformer (5-10-15-20 watts), all certified according EN 54-24;",Loudspeakers,Y,N,Current,Biamp,,,,,367,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1616.900,EN-MPBD5T10-W,EA,367,220,NZD MSRP - 40%,,,,,,,,N,NZD,2.32,Kg,,EN-MPBD5T10-W,"compact bi-directional sound projector, equipped with 2 high efficiency full range drivers and a multi tap 100 volt transformer (1.5-3-6-10 watts), all certified according EN 54-24.",Loudspeakers,Y,N,Current,Biamp,,,,,367,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1619.900,EN-SMS6T6-W,EA,167,100,NZD MSRP - 40%,,,,,,,,N,NZD,1.8,Kg,,EN-SMS6T6-W,"6.5""surface mounted speaker equipped with a high efficiency full range speaker and a multi tap 100 volt transformer (1.5-3-6 watts), all certified according EN 54-24.",Loudspeakers,Y,N,Current,Biamp,,,,,167,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1620.900,EN-SPH5T16-W,EA,300,180,NZD MSRP - 40%,,,,,,,,N,NZD,1.6,Kg,,EN-SPH5T16-W,"compact 5.25” sphere loudspeaker equipped with a high efficiency full range speaker and a multi tap 100 volt transformer (4-8-16 watts), all certified according EN 54-24.",Loudspeakers,Y,N,Current,Biamp,,,,,300,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1621.900,EN-SPH6T20-W,EA,500,300,NZD MSRP - 40%,,,,,,,,N,NZD,2.15,Kg,,EN-SPH6T20-W,"6.5” sphere loudspeaker equipped with a high efficiency full range speaker and a multi tap 100 volt transformer (2.5-5-10-15-20 watts) and a power selector switch to 8 ohms, all certified according EN 54-24.",Loudspeakers,Y,N,Current,Biamp,,,,,500,,,,,PO,Standard Freight,N,N,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1622.900,E-VOL120,EA,127,76,NZD MSRP - 40%,,,,,,,,N,NZD,0.4,Kg,,E-VOL120,"100 volt, 120 watts Euro volume control, white, with 24V prioirty relais",Control Interfaces,n,n,Current,Biamp,,,,,127,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1623.900,E-VOL20,EA,43,26,NZD MSRP - 40%,,,,,,,,N,NZD,0.1,Kg,,E-VOL20,"100 volt, 20 watts  Euro volume control, white, with 24V prioirty relais",Control Interfaces,n,n,Current,Biamp,,,,,43,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1624.900,E-VOL40,EA,73,44,NZD MSRP - 40%,,,,,,,,N,NZD,0.25,Kg,,E-VOL40,"100 volt, 40 watts Euro volume control, white, with 24V prioirty relais",Control Interfaces,n,n,Current,Biamp,,,,,73,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1625.900,E-VOL60,EA,103,62,NZD MSRP - 40%,,,,,,,,N,NZD,0.35,Kg,,E-VOL60,"100 volt, 60 watts Euro volume control, white, with 24V prioirty relais",Control Interfaces,n,n,Current,Biamp,,,,,103,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1626.900,E-VOLST,EA,153,92,NZD MSRP - 40%,,,,,,,,N,NZD,0.28,Kg,,E-VOLST,"Stereo, 2 x 40 watts Euro volume control, white",Control Interfaces,n,n,Current,Biamp,,,,,153,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0146.900,H10-G Grey,EA,133,80,NZD MSRP - 40%,,,,,,240,120 cm x 100 cm x 170 cm,N,NZD,1.2,Kg,,H10-G Grey,"Compact Horn speaker, 10W, 8 ohms, 70V/100V transformer, Grey",Loudspeakers,y,n,Current,Biamp,,,,,133,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0147.900,H20-G Grey,EA,167,100,NZD MSRP - 40%,,,,,,144,120 cm x 120 cm x 147 cm,N,NZD,1.36,Kg,,H20-G Grey,"Powerful Horn speaker, 20W, 8 ohms, 70V/100V transformer, Grey",Loudspeakers,y,n,Current,Biamp,,,,,167,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0148.900,H30LT-G Grey,EA,200,120,NZD MSRP - 40%,,,,,,48,120 cm x 100 cm x 145 cm,N,NZD,1.7,Kg,,H30LT-G Grey,"Long Throw Horn speaker, 30W, 8 ohms, 70V/100V transformer, Grey",Loudspeakers,y,n,Current,Biamp,,,,,200,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0659.900,MA120,EA,937,562,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 167 cm,Y,NZD,4.9,Kg,,MA120,"19"" mixing amplifier 70 - 100 volt / 120 watts, 2 mic/line input, 4 stereo line inputs, left to right 4 level priority system, Emergency in, paging mic with chime, 24V override output",Mixer-Amplifiers,y,n,Current,Biamp,,,,,937,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0660.900,MA240,EA,1507,904,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 167 cm,Y,NZD,5.6,Kg,,MA240,"19"" mixing amplifier 70 - 100 volt / 240 watts, 2 mic/line, 4 stereo line inputs, left to right 4 level priority system, Emergency in, paging mic with chime, 24V priority output",Mixer-Amplifiers,y,n,Current,Biamp,,,,,1507,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0661.900,MA30,EA,550,330,NZD MSRP - 40%,,,,,,64,120 cm x 80 cm x 164 cm,Y,NZD,2.85,Kg,,MA30,"9.5"" mixing amplifier 70 - 100 volt / 30 watts, 1 mic/line input, 2 stereo line inputs, left to right 4 level priority system, Emergency in, paging mic with chime, 24V override output",Mixer-Amplifiers,y,n,Current,Biamp,,,,,550,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.0674.900,MA3060-19,Set,57,34,NZD MSRP - 40%,,,,,,210,120 cm x 80 cm x 161 cm,N,NZD,0.8,Kg,,MA3060-19,"19"" bracket kit for MA30/MA60",Accessories,n,n,Current,Biamp,,,,,57,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1639.900,MA35-19,Set,27,16,NZD MSRP - 40%,,,,,,,,N,NZD,0.4,Kg,,MA35-19,"19"" bracket for MA35/MA65",Accessories,n,n,Current,Biamp,,,,,27,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0662.900,MA60,EA,737,442,NZD MSRP - 40%,,,,,,64,120 cm x 80 cm x 164 cm,Y,NZD,2.6,Kg,,MA60,"9.5"" mixing amplifier 70 - 100 volt / 60 watts, 1 mic/line input, 2 stereo line inputs, left to right 4 level priority system, Emergency in, paging mic with chime, 24V override output",Mixer-Amplifiers,y,n,Current,Biamp,,,,,737,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1640.900,MA65,EA,790,474,NZD MSRP - 40%,,,,,,63,120 cm x 106 cm x 132 cm,N,NZD,6.4,Kg,,MA65,"Compact mixing amplifier 100 volt / 65 watts, 3 mic + 2 line inputs, chime, 2-level priority, 24V DC/230V mains power, black",Mixer-Amplifiers,y,n,Current,Biamp,,,,,790,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1419.900,MDS.CHAIR,EA,480,288,NZD MSRP - 40%,,,,,,,,N,NZD,0.75,Kg,,MDS.CHAIR,Chairman Microphone for Microphone discussion system,Microphones,y,n,Current,Biamp,,,,,480,,,,,PO,Standard Freight,n,n,Y,Taiwan,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1420.900,MDS.DEL,EA,413,248,NZD MSRP - 40%,,,,,,,,N,NZD,0.74,Kg,,MDS.DEL,Delegate Microphone for Microphone discussion system,Microphones,y,n,Current,Biamp,,,,,413,,,,,PO,Standard Freight,n,n,Y,Taiwan,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1421.900,MDS.INT,EA,303,182,NZD MSRP - 40%,,,,,,,,N,NZD,0.61,Kg,,MDS.INT,Interface and PSU for Microphone discussion system,Microphones,n,n,Current,Biamp,,,,,303,,,,,PO,Standard Freight,n,n,Y,Taiwan,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.0663.900,MICPAT-2,EA,313,188,NZD MSRP - 40%,,,,,,,,N,NZD,0.92,Kg,,MICPAT-2,2-Zone paging microphone with gooseneck and push to talk button per zone.,Microphones,y,n,Current,Biamp,,,,,313,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.0664.900,MICPAT-4,EA,1010,606,NZD MSRP - 40%,,,,,,,,N,NZD,0.7,Kg,,MICPAT-4,4-Zone paging microphone with gooseneck,Microphones,y,n,Current,Biamp,,,,,1010,,,,,PO,Standard Freight,n,n,N,china,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.0665.900,MICPAT-D,EA,220,132,NZD MSRP - 40%,,,,,,,,N,NZD,0.9,Kg,,MICPAT-D,"All call dynamic paging microphone with gooseneck and priority switch, DIN5 connector",Microphones,y,n,Current,Biamp,,,,,220,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1424.900,MP26-G,EA,193,116,NZD MSRP - 40%,,,,,,120,135 cm x 110 cm x 193 cm,N,NZD,1.9,Kg,,MP26-G,"Powerful sound projector, 6.5"" coated woofer, 100 volt / 26 watts, all metal parts in aluminum or stainless steel. NO RUST!",Loudspeakers,y,n,Current,Biamp,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1425.900,MPBD20-G,EA,257,154,NZD MSRP - 40%,,,,,,120,120 cm x 100 cm x 142 cm,N,NZD,1.62,Kg,,MPBD20-G,"Bi-directional and angled sound projector, 2 x 5.25"" full range coated woofer, 100 volt / 20 watts, all parts in aluminum or stainless steel. NO RUST!",Loudspeakers,y,n,Current,Biamp,,,,,257,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0149.900,MPLT62-G Grey,EA,667,400,NZD MSRP - 40%,,,,,,32,120 cm x 80 cm x 179 cm,N,NZD,3.1,Kg,,MPLT62-G Grey,"Two-way Long Throw Horn speaker 62W 70V/100V transformer, Grey",Loudspeakers,y,n,Current,Biamp,,,,,667,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1429.900,NETKIT-IR,EA,423,254,NZD MSRP - 40%,,,,,,,,N,NZD,0.2,Kg,,NETKIT-IR,NETKIT-Ethernet to IR convertor,Accessories,n,n,Current,Biamp,,,,,423,,,,,PO,Standard Freight,n,n,Y,USA,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1430.900,NETKIT-RS,EA,423,254,NZD MSRP - 40%,,,,,,,,N,NZD,0.2,Kg,,NETKIT-RS,NETKIT-Ethernet to RS232 convertor,Accessories,n,n,Current,Biamp,,,,,423,,,,,PO,Standard Freight,n,n,Y,USA,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1431.900,N-MODIN,EA,10,6,NZD MSRP - 40%,,,,,,,,N,NZD,0.01,Kg,,N-MODIN,Helia built-in box for wall controls,Accessories,n,n,Current,Biamp,,,,,10,,,,,PO,Standard Freight,n,n,Y,Belgium,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0296.900,OVO3T-B Black,EA,133,80,NZD MSRP - 40%,,,,,,288,122 cm x 100 cm x 180 cm,N,NZD,1.05,Kg,,OVO3T-B Black,"Surface Mount 3"", 20W, 16 ohms, 70V/100V Transformer, Black (priced individually, but sold in pairs)",Loudspeakers,y,n,Current,Biamp,,,,,133,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0150.900,OVO3T-W White,EA,133,80,NZD MSRP - 40%,,,,,,288,122 cm x 100 cm x 180 cm,N,NZD,1.05,Kg,,OVO3T-W White,"Surface Mount 3"", 20W, 16 ohms, 70V/100V Transformer, White (priced individually, but sold in pairs)",Loudspeakers,y,n,Current,Biamp,,,,,133,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0297.900,OVO5T-B Black,EA,200,120,NZD MSRP - 40%,,,,,,96,120 cm x 120 cm x 149 cm,N,NZD,2.85,Kg,,OVO5T-B Black,"Surface Mount 5"", 40W, 16 ohms, 70V/100V Transformer, Black (priced individually, but sold in pairs)",Loudspeakers,y,n,Current,Biamp,,,,,200,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,910.0151.900,OVO5T-W White,EA,200,120,NZD MSRP - 40%,,,,,,96,120 cm x 120 cm x 149 cm,N,NZD,2.85,Kg,,OVO5T-W White,"Surface Mount 5"", 40W, 16 ohms, 70V/100V Transformer, White (priced individually, but sold in pairs)",Loudspeakers,y,n,Current,Biamp,,,,,200,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1451.900,PA2240BP,EA,2110,1266,NZD MSRP - 40%,,,,,,24,120 cm x 120 cm x 123 cm,N,NZD,21.7,Kg,,PA2240BP,"2-channel 100 volt power amplifier, 2 x 240 watts bridgeable into 1 x 480 watts with program and priority input per channel, 24V priority output, tone control, 230V AC - 24V DC",Amplifiers,y,n,Current,Biamp,,,,,2110,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1452.900,PA240P,EA,1360,816,NZD MSRP - 40%,,,,,,24,120 cm x 120 cm x 126 cm,N,NZD,14.05,Kg,,PA240P,"Power amplifier 240 watts @ 100 volt with program and priority input, 24V priority output, tone control, 24V DC - 230 V AC",Amplifiers,y,n,Current,Biamp,,,,,1360,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1453.900,PC1000RMKII,EA,550,330,NZD MSRP - 40%,,,,,,64,120 cm x 100 cm x 186 cm,N,NZD,4.5,Kg,,PC1000RMKII,"Media Player, CD/MP3 from Disc, SD-card or USB memory stick, RS232 control, IR remote included, 1U, 19""",Music Sources,n,n,Current,Biamp,,,,,550,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1454.900,PCD-REM,EA,63,38,NZD MSRP - 40%,,,,,,,,N,NZD,0.2,Kg,,PCD-REM,Optional remote control for DVD control functionality on PC1000RMKII and PCR3000RMKIII,Control Interfaces,n,n,Current,Biamp,,,,,63,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1455.900,PCR3000RMKIII,EA,1063,638,NZD MSRP - 40%,,,,,,64,120 cm x 100 cm x 164 cm,N,NZD,4.6,Kg,,PCR3000RMKIII,"Versatile DAB+ and FM RDS / CD / USB / SD-card /Bluetooth music source, RS232 control, IR remote included, 1U, 19""",Music Sources,n,n,Current,Biamp,,,,,1063,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1888.900,PM4100,EA,917,550,NZD MSRP - 40%,,,,,,,,,NZD,,Kg,,PM4100,Half-rack stereo pre-amplifier/mixer with 4 inputs,Preamplifiers,y,n,Current,Biamp,,,,,917,,,,,PO,Standard Freight,n,n,N,Thailand,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0649.900,PREZONE1,EA,920,552,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 167 cm,Y,NZD,3.65,Kg,,PREZONE1,"Stereo pre-amplifier/mixer with 2 mono / stereo volume zones, 4 line inputs, 2 MIC/Line inputs with 48V phantom power adn1 emergency input, 2 U 19"" rack mount, black",Preamplifiers,y,n,Current,Biamp,,,,,920,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0650.900,PREZONE2,EA,1583,950,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 167 cm,Y,NZD,3.9,Kg,,PREZONE2,"Stereo Pre-Amplifier, 2 stereo source zones, 4 stereo line inputs, 2 mic/line inputs, selective paging, emergency input, 0.5 Watts auto stdby, 2 U19"" rack mounting, black",Preamplifiers,y,n,Current,Biamp,,,,,1583,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0651.900,REVAMP1120T,EA,1027,616,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,4.6,Kg,,REVAMP1120T,"Class D amplifier 1 x 120 Watts (70/100 Volts or RMS @ 4 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1027,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1468.900,REVAMP1680,EA,3210,1926,NZD MSRP - 40%,,,,,,24,120 cm x 120 cm x 183 cm,Y,NZD,21.7,Kg,,REVAMP1680,"16 Channel class D amplifier 16 x 80 Watts (RMS @ 4 Ohms), 16 x 100 Watts (Dynamic @ 4 Ohms) or in bridge mode 8 x 160 Watts (RMS @ 8 Ohms), convection cooled, 3 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,3210,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0652.900,REVAMP2060T,EA,1027,616,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,5.5,Kg,,REVAMP2060T,"2 Channel class D amplifier 2 x 60 Watts (70/100 Volts or RMS @ 4 Ohms) or in bridge mode 1 x 120 Watts (70/100 Volts or RMS @ 8 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1027,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0653.900,REVAMP2120T,EA,1173,704,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,6.1,Kg,,REVAMP2120T,"2 Channel class D amplifier 2 x 120 Watts (70/100 Volts or RMS @ 4 Ohms) or in bridge mode 1 x 240 Watts (70/100 Volts or RMS @ 8 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1173,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0654.900,REVAMP2150,EA,957,574,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,3.2,Kg,,REVAMP2150,"2 Channel class D amplifier 2 x 150 Watts (RMS @ 4 Ohms), 2 x 165 Watts (Dynamic @ 4 Ohms) or in bridge mode 1 x 300 Watts (RMS @ 8 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,957,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1469.900,REVAMP2250,EA,1063,638,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,3.1,Kg,,REVAMP2250,"2 Channel class D amplifier 2 x 250 Watts (RMS @ 4 Ohms), 2 x 350 Watts (Dynamic @ 4 Ohms) or in bridge mode 1 x 500 Watts (RMS @ 8 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1063,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1470.900,REVAMP2600,EA,1413,848,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 190 cm,Y,NZD,12.1,Kg,,REVAMP2600,"2 Channel class H amplifier 2 x 600 Watts (RMS @ 4 Ohms), 2 x 840 Watts (Dynamic @ 4 Ohms), variable fan cooled, Analogue Devices DSP processor, 2 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1413,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0655.900,REVAMP4100,EA,1193,716,NZD MSRP - 40%,,,,,,44,120 cm x 80 cm x 170 cm,Y,NZD,3.5,Kg,,REVAMP4100,"4 Channel class D amplifier 4 x 100 Watts (RMS @ 4 Ohms), 4 x 110 Watts (Dynamic @ 4 Ohms) or in bridge mode 1 x 200 Watts (RMS @ 8 Ohms), convection cooled, 1 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,1193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0656.900,REVAMP4120T,EA,2387,1432,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 190 cm,Y,NZD,12.1,Kg,,REVAMP4120T,"4 Channel class D amplifier 4 x 120 Watts (70/100 Volts or RMS @ 4 Ohms) or in bridge mode 2 x 240 Watts (70/100 Volts or RMS @ 8 Ohms), combined convection and fan cooling, 2 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,2387,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0657.900,REVAMP4240T,EA,3027,1816,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 190 cm,Y,NZD,16.7,Kg,,REVAMP4240T,"4 Channel class D amplifier 4 x 240 Watts (70/100 Volts or RMS @ 4 Ohms) or in bridge mode 2 x 480 Watts (70/100 Volts or RMS @ 8 Ohms), combined convection and fan cooling, 2 U, 19"" rackmount",Amplifiers,y,n,Current,Biamp,,,,,3027,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.0658.900,REVAMP8250,EA,2660,1596,NZD MSRP - 40%,,,,,,32,120 cm x 100 cm x 190 cm,Y,NZD,7,Kg,,REVAMP8250,"8 Channel class D amplifier 8 x 250 Watts (RMS @ 4 Ohms), 8 x 350 Watts (Dynamic @ 4 Ohms) or in bridge mode 4 x 500 Watts ( RMS @8 Ohms), fan cooled, 2 U, 19""",Amplifiers,y,n,Current,Biamp,,,,,2660,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1471.900,RJ45SPLIT,EA,140,84,NZD MSRP - 40%,,,,,,,,N,NZD,0.05,Kg,,RJ45SPLIT,"RJ45 splitter: 1 input, 4 output to connect multiple MICPAT-4 or ZONE4R to ZONE4",Accessories,n,n,Current,Biamp,,,,,140,,,,,PO,Standard Freight,n,n,Y,Belgium,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1472.900,ROCK20,EA,340,204,NZD MSRP - 40%,,,,,,60,135 cm x 110 cm x 210 cm,N,NZD,3.9,Kg,,ROCK20,"Rock design outdoor loudspeaker, two-way, 100 volt / 20 watts or 8 ohms / 60 watts",Loudspeakers,y,n,Current,Biamp,,,,,340,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1474.900,SDQ5P-BL,Set,350,210,NZD MSRP - 40%,,,,,,64,120 cm x 100 cm x 193 cm,N,NZD,5.85,Kg,,SDQ5P-BL,"Stereo loudspeaker set with 1 active and 1 passive loudspeaker, 2 x 30 watts. Inputs: stereo RCA, stereo mini-jack, balanced stereo euroblock, black",Loudspeakers,y,n,Current,Biamp,,,,,350,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1475.900,SDQ5PIR-BL,Set,413,248,NZD MSRP - 40%,,,,,,64,120 cm x 100 cm x 193 cm,N,NZD,5.6,Kg,,SDQ5PIR-BL,"Stereo loudspeaker set with 1 active and 1 passive loudspeaker, 2 x 30 watts. Inputs: unbalanced stereo mini-jack, balanced stereo euroblock, black",Loudspeakers,y,n,Current,Biamp,,,,,413,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,911.1476.900,SDQ5PIR-REM,EA,37,22,NZD MSRP - 40%,,,,,,,,N,NZD,0.017,Kg,,SDQ5PIR-REM,Remote control for SDQ5PIR-W/BL,Control Interfaces,n,n,Current,Biamp,,,,,37,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
Biamp Systems,914.1477.900,SDQ5PIR-W,Set,413,248,NZD MSRP - 40%,,,,,,64,120 cm x 101 cm x 193 cm,N,NZD,5.6,Kg,,SDQ5PIR-W,"Stereo loudspeaker set with 1 active and 1 passive loudspeaker, 2 x 30 watts. Inputs: unbalanced stereo mini-jack, balanced stereo euroblock, white",Loudspeakers,y,n,Current,Biamp,,,,,413,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Biamp,,4911,,,,
